NAME_LATIN,Year,age
K. ALIKIANOY,2018.0,51.0
K. ALISTRATHS,2019.0,61.0
K. ALONNHSOY (EDRA EPI THS OMVNYMOY NHSOY)_35,2019.0,61.0
K. ALVNISTAINHS,2019.0,61.0
K. ALVNIVN_2,2019.0,53.0
K. AMALIAPOLEVS_1,2019.0,57.0
K. AMARYNUOY,2018.0,48.0
K. AMPLIANHS (STAYROPHGIOY),2019.0,47.0
K. AMYGDALEVNOS,2019.0,30.0
K. ANABYSSOY_1,2019.0,44.0
K. ANAFHS (NHSOS)_1,2019.0,30.0
K. ANATOLHS_2,2019.0,46.0
K. ANATOLHS_3,2018.0,60.0
K. ANOIJEVS,2019.0,56.0
K. ANTIPAROY (NHSOS)_5,2019.0,60.0
K. ANUEIAS_2,2018.0,31.0
K. ANUOYSHS_1,2019.0,56.0
K. ANV POROIVN,2019.0,45.0
K. APOLLVNIAS (NHSOS SIFNOS)_1,2019.0,42.0
K. AREUOYSHS_1,2019.0,56.0
K. ARFARVN,2019.0,32.0
K. ARGALASTHS,2019.0,55.0
K. ARGASIOY,2019.0,55.0
K. ARIOXVRIOY,2018.0,38.0
K. ARISTHS,2019.0,55.0
K. ARISTOMENOYS,2019.0,22.0
K. ARKALOXVRIOY,2019.0,53.0
K. ARKITSAS,2019.0,41.0
K. ARSINOHS,2019.0,47.0
K. ARTEMIDOS_1,2019.0,51.0
K. ARTEMISIOY_2,2019.0,60.0
K. ARXAGGELOY_6,2019.0,43.0
K. ARXANIOY,2019.0,12.0
K. ARXONTOXVRIOY,2018.0,5.0
K. ASEAS,2018.0,49.0
K. ASFAKAS,2019.0,61.0
K. ASFENDOY,2019.0,61.0
K. ASPROBALTAS,2019.0,42.0
K. ASSHROY,2019.0,31.0
K. ASTAKOY,2018.0,49.0
K. ASVMATVN,2018.0,60.0
K. ASVPIAS,2018.0,28.0
K. AXENTRIA,2018.0,41.0
K. AXLADERHS,2019.0,50.0
K. AXLADOXVRIOY_4,2019.0,61.0
K. BAMBAKIAS,2019.0,61.0
K. BAMOY,2019.0,55.0
K. BARDATVN,2019.0,39.0
K. BARNABA,2019.0,33.0
K. BAUEOS_2,2019.0,56.0
K. BAUHS_2,2019.0,61.0
K. BAUYLAKKOY_3,2019.0,42.0
K. BAUYPEDOY,2018.0,30.0
K. BLAXERNHS_2,2019.0,21.0
K. BLAXIAS_1,2019.0,57.0
K. BLAXOKERASEAS,2019.0,102.0
K. BOLIMVN_1,2019.0,59.0
K. BOYRGARELIOY,2019.0,49.0
K. BRAXASIOY,2019.0,60.0
K. BRAXATIOY,2019.0,28.0
K. BRAXNAIIKVN,2019.0,47.0
K. BRYSVN_5,2018.0,52.0
K. BYRVNEIAS,2018.0,60.0
K. BYTINHS,2019.0,61.0
K. DAMARIVNOS,2019.0,33.0
K. DAYLEIAS,2019.0,20.0
K. DERBENIOY,2019.0,27.0
K. DHMHTSANHS,2019.0,56.0
K. DIAKOPTOY,2019.0,45.0
K. DIMHNIOY_2,2019.0,52.0
K. DIOMHDEIAS,2019.0,54.0
K. DIONYSOY_1,2019.0,59.0
K. DONOYSHS (NHSOS)_1,2019.0,36.0
K. DOYMPIVN,2019.0,61.0
K. DRAPANIA,2018.0,60.0
K. DROSATOY_2,2019.0,15.0
K. DROSIAS_1,2019.0,56.0
K. DRYOPHS,2019.0,41.0
K. DVRIKOY_1,2019.0,48.0
K. DVRIOY,2019.0,61.0
K. EJAPLATANOY,2019.0,45.0
K. EJV NYMFIOY,2019.0,53.0
K. EKALHS,2019.0,58.0
K. ELAFONHSOY_3,2019.0,44.0
K. ELATHS_4,2019.0,61.0
K. ELATOXVRIOY_2,2019.0,50.0
K. ELEOYSHS_1,2019.0,50.0
K. ELEYUERVN_1,2018.0,53.0
K. ELLHNIKOY_2,2019.0,38.0
K. ELOYNTAS_1,2018.0,59.0
K. EPANOMHS,2019.0,41.0
K. EPISKOPHS_3,2018.0,32.0
K. EPISKOPHS_5,2019.0,55.0
K. EPTALOFOY_2,2019.0,35.0
K. ERASMIOY,2019.0,56.0
K. ERATEINHS,2019.0,47.0
K. ERMIONHS_1,2019.0,48.0
K. EYKARPIAS_2,2019.0,49.0
K. FARVN,2019.0,49.0
K. FENEOY,2019.0,41.0
K. FISKARDOY_1,2019.0,32.0
K. FIXTIOY,2019.0,73.0
K. FOLEGANDROY (NHSOS)_1,2019.0,40.0
K. FOYRKAS_1,2018.0,60.0
K. FOYRNVN (EDRA EPI THS OMVNYMOY NHSOY)_14,2019.0,50.0
K. FRE,2018.0,2.0
K. FVTOLIBOYS,2019.0,36.0
